,Simbol,% 1h,% 2h,% 7d
487,BITS,-1.86%,-2.89%,4.84%
488,42,-0.58%,-4.16%,14.41%
489,CFT,-1.25%,4.21%,148.93%
490,ANC,-11.89%,21.71%,-66.21%
491,FJC,13.53%,0.71%,-9.08%
492,BTSR,1.23%,-7.59%,3.08%
493,DP,8.27%,-28.49%,-23.82%
494,MBI,0.39%,13.95%,1.76%
495,WOMEN,-0.24%,-5.49%,-26.91%
496,TYCHO,-0.28%,-0.81%,-26.93%
497,FXE,-0.26%,-12.56%,-2.15%
498,ATS,21.11%,0.95%,-59.12%
499,ZER,-0.28%,-0.35%,-7.45%
500,EMB,0.45%,-48.08%,-80.66%
501,COLX,9.74%,12.79%,-37.97%
502,XP,-74.05%,-71.41%,-62.96%
503,SPRTS,-19.91%,4.17%,-91.58%
504,PROC,1.17%,62.76%,26.11%
505,DALC,4.66%,-5.87%,16.32%
506,DEM,-0.41%,20.79%,44.88%
507,FNC,-7.04%,-29.28%,60.66%
508,SMLY,-2.70%,-18.72%,-42.49%
509,LUX,2.09%,10.51%,-38.70%
510,PAK,-0.52%,-2.46%,9.00%
511,ETHD,-1.01%,-19.99%,-44.24%
512,MNC,-0.42%,22.97%,?
513,SCORE,-14.30%,20.64%,23.77%
514,VSX,-0.13%,-1.83%,-27.18%
515,BITBTC,-0.83%,1.20%,25.62%
516,DNR,-0.24%,2.07%,-22.57%
517,POST,-2.55%,1.23%,19.40%
518,ETG,3.49%,1.19%,-62.29%
519,ELLA,-1.35%,-1.48%,?
520,VLT,-0.40%,0.30%,-6.18%
521,BLUE,0.95%,6.59%,-13.18%
522,NEVA,-0.53%,529.40%,503.32%
523,ECA,-0.91%,171.16%,58.93%
524,NTO,-21.98%,-39.81%,-43.87%
525,MZC,-9.04%,-8.43%,-7.90%
526,BLAS,4.52%,-23.71%,-22.92%
527,IFLT,2.79%,-1.79%,-48.71%
528,TRUMP,-0.72%,-10.77%,-6.19%
529,XJO,-0.44%,4.03%,122.54%
530,SDRN,12.01%,-15.97%,-47.96%
531,BLN,-0.26%,-15.17%,-0.96%
